#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100,-55767.551306191795,103.52333068232376,36.35179510868867,0.9108282654433746
200,-54071.144218651774,171.23070300073462,36.35179510868867,0.9108282654433746
300,-52739.00619529757,213.735450538535,36.35179510868867,0.9108282654433746
400,-51976.972793498884,251.04484768081898,36.35179510868867,0.9108282654433746
500,-51140.21513080437,261.6306956384062,36.35179510868867,0.9108282654433746
600,-50600.005049558546,263.9749162831618,36.35179510868867,0.9108282654433746
700,-50535.249183297536,283.7039409309104,36.35179510868867,0.9108282654433746
800,-50289.31240316221,293.18841228343894,36.35179510868867,0.9108282654433746
900,-50121.78266427053,299.9167120150123,36.35179510868867,0.9108282654433746
1000,-49875.78411980866,295.55343405704775,36.35179510868867,0.9108282654433746
1100,-49757.98289730045,294.12799230382126,36.35179510868867,0.9108282654433746
1200,-49855.19958085105,296.01967911559706,36.35179510868867,0.9108282654433746
1300,-49850.54451332131,295.6640010803727,36.35179510868867,0.9108282654433746
1400,-49465.28443343067,291.9917767957148,36.35179510868867,0.9108282654433746
1500,-49653.446399072534,302.17231326243115,36.35179510868867,0.9108282654433746
1600,-49542.237302431895,300.40272802847886,36.35179510868867,0.9108282654433746
1700,-49367.25811889739,294.6692762969703,36.35179510868867,0.9108282654433746
1800,-49484.5394388193,299.71449460265376,36.35179510868867,0.9108282654433746
1900,-49597.73218463528,301.9752573009561,36.35179510868867,0.9108282654433746
2000,-49621.70569459642,299.1949589897843,36.35179510868867,0.9108282654433746
2100,-49631.990160405636,302.33489455214755,36.35179510868867,0.9108282654433746
2200,-49444.49299927492,295.81031197092256,36.35179510868867,0.9108282654433746
2300,-49675.645280214965,303.8324979799376,36.35179510868867,0.9108282654433746
2400,-49703.97229929279,307.3219162144905,36.35179510868867,0.9108282654433746
2500,-49627.6506569815,305.1690982723555,36.35179510868867,0.9108282654433746
2600,-49624.63689061234,306.5018887926821,36.35179510868867,0.9108282654433746
2700,-49567.9256944816,304.90618229919187,36.35179510868867,0.9108282654433746
2800,-49772.52958893778,301.5204187793789,36.35179510868867,0.9108282654433746
2900,-50046.69208182961,301.3506522740304,36.35179510868867,0.9108282654433746
3000,-49803.627317080754,303.43781825841864,36.35179510868867,0.9108282654433746
3100,-49615.46906930018,295.37543034240866,36.35179510868867,0.9108282654433746
3200,-49764.02514937039,300.97199011957053,36.35179510868867,0.9108282654433746
3300,-49834.27505669454,300.49504534447266,36.35179510868867,0.9108282654433746
3400,-50056.106393921815,302.21070804792663,36.35179510868867,0.9108282654433746
3500,-50128.29583017238,304.43451899882217,36.35179510868867,0.9108282654433746
3600,-50002.225961067634,294.85864918835523,36.35179510868867,0.9108282654433746
3700,-50012.15299892835,294.66644616792024,36.35179510868867,0.9108282654433746
3800,-50032.8315133559,298.1625758629488,36.35179510868867,0.9108282654433746
3900,-49904.077345754486,301.9676091465633,36.35179510868867,0.9108282654433746
4000,-49871.87154684845,293.3709523722155,36.35179510868867,0.9108282654433746
4100,-49946.95521162913,297.42963538854696,36.35179510868867,0.9108282654433746
4200,-49785.34908341068,297.4749526369872,36.35179510868867,0.9108282654433746
4300,-49947.83862007945,295.7376568991177,36.35179510868867,0.9108282654433746
4400,-49658.30041046677,289.3461833792604,36.35179510868867,0.9108282654433746
4500,-49655.22056675678,305.6063412460193,36.35179510868867,0.9108282654433746
4600,-49912.25103236951,301.33169551744544,36.35179510868867,0.9108282654433746
4700,-49662.66308188516,296.7621135783756,36.35179510868867,0.9108282654433746
4800,-49750.64323863279,298.74175960907615,36.35179510868867,0.9108282654433746
4900,-49662.52388674487,301.4834162001565,36.35179510868867,0.9108282654433746
5000,-49714.8455741044,302.6677647012033,36.35179510868867,0.9108282654433746
5100,-49694.22687691194,306.18772170887786,36.35179510868867,0.9108282654433746
5200,-49606.515292345386,308.8786415071174,36.35179510868867,0.9108282654433746
5300,-49468.45684129589,312.1479650536351,36.35179510868867,0.9108282654433746
5400,-49563.99089030715,303.05759749643084,36.35179510868867,0.9108282654433746
5500,-49708.26974860686,298.22168608946197,36.35179510868867,0.9108282654433746
5600,-49611.851633557286,297.07668305845465,36.35179510868867,0.9108282654433746
5700,-49841.92346253867,303.7180852307792,36.35179510868867,0.9108282654433746
5800,-49890.87179955176,304.798826236327,36.35179510868867,0.9108282654433746
5900,-49969.49282328727,308.454297368274,36.35179510868867,0.9108282654433746
6000,-49726.098138858644,298.9687655774568,36.35179510868867,0.9108282654433746
6100,-49636.64255169164,298.67695293747687,36.35179510868867,0.9108282654433746
6200,-49785.17253963931,304.9205538227052,36.35179510868867,0.9108282654433746
6300,-49677.9787580328,307.2355775934977,36.35179510868867,0.9108282654433746
6400,-49853.15192227486,314.02072409779475,36.35179510868867,0.9108282654433746
6500,-49799.73863957637,298.07865055393137,36.35179510868867,0.9108282654433746
6600,-49653.57077661559,295.09316309756883,36.35179510868867,0.9108282654433746
6700,-49841.690158860125,298.94018420247863,36.35179510868867,0.9108282654433746
6800,-49945.7675162097,311.6409887081222,36.35179510868867,0.9108282654433746
6900,-50026.083047380096,311.89773535829744,36.35179510868867,0.9108282654433746
7000,-49687.594653624736,310.32222869666543,36.35179510868867,0.9108282654433746
7100,-49504.75261849726,294.29873459654897,36.35179510868867,0.9108282654433746
7200,-49722.74376253798,298.44372482067314,36.35179510868867,0.9108282654433746
7300,-49578.32090402662,298.98192684972025,36.35179510868867,0.9108282654433746
7400,-49867.17800158661,306.1286433217458,36.35179510868867,0.9108282654433746
7500,-49770.45930729227,299.1391434839788,36.35179510868867,0.9108282654433746
7600,-49810.98791673911,300.6251828519966,36.35179510868867,0.9108282654433746
7700,-49798.203592648,299.3608562224152,36.35179510868867,0.9108282654433746
7800,-49668.204003885294,298.1993418533819,36.35179510868867,0.9108282654433746
7900,-49980.05314138362,306.1368714995524,36.35179510868867,0.9108282654433746
8000,-49822.06934490405,302.68588041649116,36.35179510868867,0.9108282654433746
8100,-49855.20389652784,306.7132754999729,36.35179510868867,0.9108282654433746
8200,-49923.07605851585,311.367464446252,36.35179510868867,0.9108282654433746
8300,-49722.28941756331,296.53201039397936,36.35179510868867,0.9108282654433746
8400,-49825.33198227679,294.94670446790144,36.35179510868867,0.9108282654433746
8500,-50156.93966397614,303.14311762327804,36.35179510868867,0.9108282654433746
8600,-49857.02647519823,298.5959473760507,36.35179510868867,0.9108282654433746
8700,-49851.45151819597,303.21360698480396,36.35179510868867,0.9108282654433746
8800,-49727.984348128775,297.05426391208766,36.35179510868867,0.9108282654433746
8900,-49750.4436344077,293.6652265828716,36.35179510868867,0.9108282654433746
9000,-49917.82650291816,296.3438345433461,36.35179510868867,0.9108282654433746
9100,-50000.55403355866,292.7819705984963,36.35179510868867,0.9108282654433746
9200,-50185.271320955064,296.57904032283267,36.35179510868867,0.9108282654433746
9300,-50032.58384483384,296.353572002393,36.35179510868867,0.9108282654433746
9400,-50016.76673117823,294.4633951684491,36.35179510868867,0.9108282654433746
9500,-50080.17444594273,303.78176654228855,36.35179510868867,0.9108282654433746
9600,-49839.4076750186,295.8340480255386,36.35179510868867,0.9108282654433746
9700,-49990.71105334857,303.0183927036502,36.35179510868867,0.9108282654433746
9800,-49737.66166463248,304.55927554517206,36.35179510868867,0.9108282654433746
9900,-49972.351895316555,307.76161168005063,36.35179510868867,0.9108282654433746
10000,-49582.15578423395,305.7585683748832,36.35179510868867,0.9108282654433746
10100,-49889.46113300623,302.0657706546392,35.522059355808096,0.9321036866964784
10200,-50108.44199367001,298.85675352200565,35.38184587438041,0.9357974878460088
10300,-50075.3888245168,303.2298314753827,35.24846769393941,0.9393384918769901
10400,-50315.382255807075,298.6927609279485,34.390185454248304,0.9627817369187717
10500,-50424.37026327825,294.79976870250096,34.329002511471245,0.9644976568583916
10600,-50430.852263540015,304.1680646882856,34.26368658593852,0.9663362522755496
10700,-50355.51161307854,301.5863832962837,34.00122231765701,0.9737956528523252
10800,-50569.03375680317,303.9208886357497,33.892668325904424,0.9769145989397786
10900,-50604.124110841934,303.67902980607073,33.370717556912346,0.992194501905203
11000,-50621.398962633546,300.56619119476693,33.480265132635296,0.988948037102766
11100,-50569.67942407626,306.9997606660194,33.480265132635296,0.988948037102766
11200,-50429.346963924465,299.54549576066097,33.14377313034031,0.9989883274421235
11300,-50581.45324341355,301.65926427008856,33.23452284790174,0.9962605040586666
11400,-50432.78691488336,304.8031944853118,32.955054844578044,1.0047090693902256
11500,-50551.79156926044,299.8612780099914,32.66091716500515,1.0137572780741178
11600,-50606.307927126305,300.16376465793877,32.399164225433665,1.0219474259958838
11700,-50838.06592963467,298.35359904786253,32.29054198302577,1.025385157734577
11800,-50899.62566526745,300.98836717216096,32.331289530288814,1.0240928514027037
11900,-50815.4265756875,300.3113485279487,32.29766436229134,1.0251590366781205
12000,-50876.5498354404,300.77439789301644,32.25652691142273,1.0264664443113
12100,-50985.941387181956,301.1801747691029,32.23336554335487,1.027204014426156
12200,-50738.85293550823,299.45735751207934,32.363238756895356,1.023081859430566
12300,-50924.30517729017,299.26517820772546,32.363238756895356,1.023081859430566
12400,-50672.46668569953,289.8028740037747,32.37951117068825,1.02256770678407
12500,-50907.115907842126,301.8628678946957,32.37951117068825,1.02256770678407
12600,-50744.98858687325,295.01594110160784,32.67069319287518,1.0134539322177756
12700,-50807.11331229264,290.55430616211925,32.647137861619015,1.014185152307801
12800,-50760.19075021603,298.6421262096134,32.383792621060984,1.0224325134501515
12900,-50727.71631075682,302.49989039144066,32.34159755088359,1.0237664491528886
13000,-50702.18160268903,302.27919785659896,32.15330239274322,1.0297617980314397
13100,-50780.74257613275,302.06124706088855,32.1631843970171,1.0294454080134736
13200,-50731.983788143116,297.75811070190235,32.06477132211345,1.0326049779673743
13300,-50790.888643975006,304.0055529253163,32.023395144014685,1.0339391665280158
13400,-50717.59610670693,307.6727918792972,32.15532293180128,1.0296970910484675
13500,-50710.890298022096,305.94169528354195,32.15532293180128,1.0296970910484675
13600,-50621.19050706426,305.65193264894384,32.046130538757815,1.03320562975786
13700,-50833.677381318004,305.0866572170698,32.11257216074647,1.031067904459952
13800,-50877.34591096906,305.4740791204176,32.41344678774972,1.0214971181995207
13900,-50676.135617867294,305.7932996951488,32.238580236305566,1.0270378609078032
14000,-50732.32899440173,306.5753977430015,32.31853933890824,1.0244968727512536
14100,-50381.50746033278,305.83599410410824,32.51065979535981,1.0184426490576983
14200,-50486.35046687742,303.3791897300887,32.35517170535107,1.0233369424253096
14300,-50669.67231832837,306.97902006767947,32.35517170535107,1.0233369424253096
14400,-50798.305306018905,298.39478300072284,32.35517170535107,1.0233369424253096
14500,-51086.80420523592,303.3108837235402,32.32434055066018,1.0243130074906857
14600,-50870.63806219625,301.3795559989234,32.51819005215105,1.018206807682079
14700,-51073.393765102446,308.8664427636326,32.36627484029927,1.022985890343311
14800,-51038.91725045059,305.12399240620454,32.36627484029927,1.022985890343311
14900,-50742.82547137734,299.76490447178986,32.523725368006104,1.0180335158398157
15000,-50926.3552963168,306.937542734131,32.467979217066556,1.019781436449722
15100,-50583.28159808917,299.8335492441364,32.22468456989492,1.0274807318217243
15200,-50861.8575198355,313.0467468306217,32.06099529452874,1.0327265944314017
15300,-50385.899822785344,307.46326496522846,32.38582610501144,1.0223683156094114
15400,-50421.61454164432,300.00626989393754,32.099094911338604,1.03150081259469
15500,-50767.13722382697,308.69001536361225,32.04866278058301,1.0331239936993568
15600,-50823.86140030021,300.0255375551039,31.97081163636549,1.0356397222940161
15700,-50914.767127470004,302.64406941040136,31.687639494197278,1.0448945712937403
15800,-50789.371890044655,297.59227926037136,31.913574686703043,1.037497140625723
15900,-51027.8595917826,306.97045418805743,31.7810575223937,1.0418231822924577
